Car_ID,Brand,Model_Year,Fuel_Type,Transmission,Seller_Type,Owner,Driven_KMs,Engine_CC,Mileage_kmpl,Selling_Price,Present_Price
136,Mahindra,2019,diesel,Manual,dealer,First,149797,1547,27.47,2468431.0,328799
172,ford,2007,Diesel,auto,Individual,Second,198712,1085,28.03,190619.0,510679
223,Toyota,2012,diesel,manual,Individual,Third,177021,3005,18.8,563201.0,2848833
73,Honda,2002,diesel,Automatic,Dealer,First,54828,1640,27.58,2271388.0,1459276
152,Tata,2010,diesel,Manual,Dealer,1st,128515,2281,25.85,1806288.0,1720392
115,BMW,2020,Electric,auto,Individual,2nd,64546,956,19.21,1309821.0,2201792
276,Tata,2005,petrol,auto,individual,2nd,176262,837,18.36,987565.0,2331417
87,Ford,2016,Electric,Manual,Individual,1st,85862,1050,11.8,680462.0,2777191
9,Honda,2000,diesel,Automatic,individual,3rd,141167,1919,28.6,1566368.0,758786
229,Tata,2010,Hybrid,auto,Dealer,Second,143458,3301,16.85,2231659.0,454680
238,Mahindra,2014,petrol,Manual,dealer,Third,181890,3454,13.0,826034.0,2745655
237,ford,2009,Hybrid,auto,Individual,1st,159199,2061,26.06,2131225.0,2939187
48,toyota,2005,diesel,auto,Individual,1st,117481,2158,26.16,2227513.0,1388776
247,BMW,2000,Petrol,auto,Individual,Second,171375,1822,29.74,2383184.0,2077438
124,BMW,2000,Electric,auto,individual,3rd,121869,1621,27.3,598421.0,2264249
186,Hyundai,2020,diesel,manual,individual,2nd,154640,2502,24.41,833271.0,1840895
100,Suzuki,2007,Diesel,auto,dealer,3rd,185876,2976,27.48,1238902.0,2130669
174,BMW,2000,Diesel,Automatic,Dealer,Second,192999,2859,17.78,1195453.0,1192971
159,Mahindra,2020,Diesel,auto,dealer,1st,82459,2122,15.22,1247611.0,356506
49,Suzuki,2015,Hybrid,auto,Individual,1st,71767,1813,18.42,174963.0,1527400
168,BMW,2016,Electric,auto,individual,Second,72285,1170,20.9,2483143.0,498604
53,Suzuki,2005,Hybrid,Automatic,Individual,Third,137524,869,24.9,1235539.0,2496001
154,Mahindra,2007,Diesel,Manual,individual,1st,102183,2058,20.59,1518274.0,1410252
83,Hyundai,2000,Hybrid,Automatic,Dealer,Third,47452,1674,25.37,2193520.0,847077
97,ford,2001,Petrol,manual,Dealer,1st,182305,3298,21.93,2071860.0,838691
244,Hyundai,2012,Hybrid,Automatic,dealer,First,23386,2001,23.05,1160774.0,1619020
240,Mercedes,2001,Hybrid,auto,Dealer,3rd,54809,1906,28.21,2320394.0,661242
200,Honda,2006,Petrol,auto,Individual,1st,132863,2990,20.72,1292885.0,472471
71,Ford,2020,petrol,manual,dealer,1st,178818,3138,17.47,1526067.0,298295
78,Mahindra,2002,diesel,auto,individual,2nd,101049,2846,21.59,2074499.0,1603674
263,Mercedes,2021,Electric,manual,individual,Third,195121,2945,23.44,1423929.0,1362387
40,Honda,2010,Diesel,auto,Individual,First,12264,2341,25.93,877130.0,2483081
196,Mahindra,2015,Hybrid,auto,individual,2nd,52675,2397,27.24,2418483.0,1327214
68,Mercedes,2013,diesel,auto,individual,3rd,56371,2168,19.77,115985.0,1022054
151,Honda,2009,diesel,manual,Dealer,3rd,24486,2735,11.97,2484356.0,793575
125,Tata,2009,Hybrid,manual,dealer,1st,119613,2346,14.49,1007853.0,372376
275,toyota,2015,Diesel,manual,Dealer,2nd,44223,3339,13.57,726833.0,2530543
178,BMW,2006,diesel,Automatic,individual,1st,57789,3133,24.63,181469.0,2698171
157,BMW,2007,diesel,auto,Dealer,3rd,6942,1156,11.0,1178087.0,1177267
173,Honda,2019,Petrol,auto,Dealer,1st,160547,1580,12.73,1043503.0,1555897
99,Suzuki,2001,diesel,auto,dealer,Third,29697,2717,15.64,304663.0,2629635
202,ford,2007,diesel,manual,Individual,1st,183323,1939,12.07,1009798.0,874643
193,Mercedes,2001,Diesel,manual,Dealer,1st,164869,2280,12.53,2274092.0,978002
215,Hyundai,2015,petrol,Manual,Dealer,Second,109306,2017,15.8,1769697.0,2401931
145,Tata,2017,petrol,Manual,Individual,3rd,28071,1596,16.1,241037.0,2193768
3,Suzuki,2017,Diesel,auto,Dealer,3rd,192386,1213,15.91,1137934.0,2295190
85,Tata,2009,Petrol,auto,individual,Second,122222,3132,13.44,1957665.0,1711014
255,Tata,2005,Diesel,Manual,dealer,First,81877,2061,27.93,1774728.0,2044909
38,Suzuki,2002,diesel,auto,Individual,2nd,59918,2358,28.29,174963.0,1301915
150,Tata,2007,diesel,auto,Dealer,Second,146779,2357,26.81,1952860.0,329790
273,Ford,2008,diesel,auto,individual,First,150314,2141,26.12,174963.0,2849483
259,Toyota,2014,Petrol,Manual,Individual,2nd,52262,1147,27.9,1880643.0,1715980
67,Ford,2008,Diesel,Manual,individual,2nd,11354,1563,28.45,1530762.0,2295474
153,ford,2018,Petrol,auto,individual,First,89438,1595,25.3,153430.0,1709133
268,Toyota,2020,Electric,auto,Dealer,1st,169100,2404,25.45,2243313.0,1610361
252,Mahindra,2022,diesel,Manual,Individual,2nd,165841,2719,26.94,272102.0,2439589
166,Ford,2007,Diesel,Manual,dealer,1st,198978,1261,13.28,174963.0,2605873
198,Ford,2019,Electric,Automatic,Dealer,1st,109674,2723,11.26,1322137.0,472212
231,BMW,2013,Diesel,auto,dealer,3rd,77202,1908,12.86,1652229.0,2150488
79,BMW,2014,diesel,manual,individual,First,126730,1009,27.96,331973.0,2725887
43,toyota,2017,petrol,auto,Individual,2nd,5635,1518,24.66,1427608.0,2500082
111,Mahindra,2001,diesel,auto,Dealer,1st,145050,1993,28.73,754824.0,2530123
7,ford,2010,Petrol,manual,Dealer,2nd,76756,2854,15.96,174963.0,1805405
236,Hyundai,2009,Hybrid,auto,Dealer,Third,130759,1539,11.02,174963.0,1094634
204,toyota,2007,Petrol,auto,dealer,First,190716,835,29.15,174963.0,2859509
31,Tata,2021,diesel,auto,Dealer,Second,63224,2702,12.91,2401832.0,2650788
239,ford,2020,Electric,auto,individual,1st,6047,3234,23.5,2331283.0,2008926
82,BMW,2018,diesel,auto,Individual,3rd,97921,1005,26.58,1703716.0,1952787
29,Mahindra,2006,diesel,auto,dealer,Second,192005,2186,13.74,879103.0,217913
249,BMW,2000,Petrol,auto,individual,2nd,29630,987,13.84,1120067.0,2104594
59,Tata,2017,Hybrid,Automatic,Individual,3rd,16966,1943,26.54,950651.0,749357
180,toyota,2010,diesel,Automatic,dealer,Third,42972,2208,28.06,1894596.0,1422611
